Alpaca successfully connected
Loaded preprocessed data with shape (23968830, 16)
Getting Numpy arrays from data!

| `step`: Number of samples, or total training steps, or running times of `env.step()`.
| `time`: Time spent from the start of training to this moment.
| `avgR`: Average value of cumulative rewards, which is the sum of rewards in an episode.
| `stdR`: Standard dev of cumulative rewards, which is the sum of rewards in an episode.
| `avgS`: Average of steps in an episode.
| `objC`: Objective of Critic network. Or call it loss function of critic network.
| `objA`: Objective of Actor network. It is the average Q value of the critic network.
|     step      time  |     avgR    stdR    avgS  |     objC      objA
| 5.40e+06     12343  |    -1.18    0.00   12345  |     0.81      0.19
| 5.42e+06     12389  |    -1.13    0.00   12345  |     0.76      0.24
| 5.44e+06     12435  |    -1.15    0.00   12345  |     0.37      0.21
| 5.46e+06     12480  |    -0.90    0.00   12345  |     0.76      0.26
| 5.48e+06     12526  |    -1.08    0.00   12345  |     0.87      0.23
| 5.50e+06     12572  |    -1.12    0.00   12345  |     1.46      0.19
| 5.52e+06     12618  |    -1.16    0.00   12345  |     2.01      0.32
| 5.54e+06     12663  |    -1.13    0.00   12345  |     0.41      0.19
| 5.56e+06     12709  |    -1.08    0.00   12345  |     0.69      0.24
| 5.58e+06     12754  |    -0.81    0.00   12345  |     0.39      0.19
| 5.60e+06     12801  |    -0.92    0.00   12345  |     0.00      0.14
| 5.62e+06     12847  |    -0.75    0.00   12345  |     0.00      0.18
| 5.64e+06     12892  |    -1.07    0.00   12345  |     0.00      0.18
| 5.66e+06     12938  |    -1.04    0.00   12345  |     0.00      0.21
| 5.68e+06     12985  |    -1.00    0.00   12345  |     0.00      0.20
| 5.70e+06     13030  |    -0.93    0.00   12345  |     0.35      0.22
| 5.72e+06     13075  |    -0.92    0.00   12345  |     0.14      0.22
| 5.74e+06     13121  |    -1.05    0.00   12345  |     0.26      0.21
| 5.76e+06     13167  |    -0.93    0.00   12345  |     0.19      0.22
| 5.78e+06     13212  |    -0.91    0.00   12345  |     0.15      0.17
| 5.80e+06     13257  |    -0.88    0.00   12345  |     0.12      0.19
| 5.82e+06     13303  |    -0.82    0.00   12345  |     0.13      0.23
